Index,Name,Count
1341,$CERE,42
1342,$dsla,42
1343,$MUSIC,42
1344,$RNT,42
1345,$PEACH,41
1346,$Hifi,41
1347,$HOLD,41
1348,$U,41
1349,$THC,41
1350,$HFT,41
1351,$ANT,41
1352,$BOOP,41
1353,$CULT,41
1354,$VRT,41
1355,$DOW,41
1356,$Wif,41
1357,$RAM,41
1358,$NUTS,41
1359,$MNDY,41
1360,$ROSX,41
1361,$POPDOG,41
1362,$MARS4,41
1363,$IXT,41
1364,$OPEN,41
1365,$SOPH,41
1366,$SOLCEX,41
1367,$MINE,41
1368,$CARV,41
1369,$FIS,40
1370,$WRX,40
1371,$Luna,40
1372,$NET,40
1373,$EXTRA,40
1374,$KING,40
1375,$MNDE,40
1376,$OSCR,40
1377,$FIG,40
1378,$high,40
1379,$CORGIAI,40
1380,$RBLX,40
1381,$X,40
1382,$GOAT,40
1383,$SHELTY,40
1384,$DUREV,40
1385,$PEEZY,40
1386,$BCH5S,40
1387,$BRITT,40
1388,$EMT,40
1389,$BILLY,40
1390,$CHIPPY,40
1391,$XALPHA,39
1392,$QRDO,39
1393,$XULLY,39
1394,$AMU,39
1395,$CBETH,39
1396,$CATS,39
1397,$BTCZ,39
1398,$GTR,39
1399,$DHT,39
1400,$bone,39
1401,$MOD,39
1402,$APE2S,39
1403,$front,39
1404,$SHA,39
1405,$base,39
1406,$Near,39
1407,$ROAR,39
1408,$Tfuel,39
1409,$SCHW,39
1410,$FITFI,39
1411,$ondo,39
1412,$CELL,39
1413,$CHWY,39
1414,$SELF,39
1415,$KNDI,39
1416,$FRANK,39
1417,$Candle,39
1418,$NFE,39
1419,$SKI,39
1420,$seam,39
1421,$SELFIE,39
1422,$GIKO,39
1423,$NOHAT,39
1424,$fida,39
